time,platform_code,platform_type,country
2021-06-30 14:17:00+00:00,4802960,GLIDERS,UNITED STATES
2021-06-30 15:03:00+00:00,4802960,GLIDERS,UNITED STATES
2021-06-30 15:48:00+00:00,4802960,GLIDERS,UNITED STATES
2021-06-30 16:57:00+00:00,4802960,GLIDERS,UNITED STATES
2021-06-30 18:02:00+00:00,4802960,GLIDERS,UNITED STATES
2021-06-30 19:20:00+00:00,4802960,GLIDERS,UNITED STATES
2021-06-30 20:26:00+00:00,4802960,GLIDERS,UNITED STATES
2021-06-30 21:41:00+00:00,4802960,GLIDERS,UNITED STATES
2021-06-30 22:46:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-01 00:00:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-01 00:10:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-01 01:30:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-01 03:01:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-01 04:26:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-01 05:59:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-01 07:23:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-01 09:11:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-01 10:34:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-01 12:13:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-01 13:38:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-01 15:19:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-01 16:56:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-01 19:07:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-01 20:30:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-01 22:23:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-01 23:49:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-02 00:00:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-02 01:46:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-02 03:09:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-02 05:03:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-02 06:39:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-02 08:30:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-02 10:11:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-02 11:53:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-02 13:16:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-02 15:10:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-02 16:48:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-02 18:40:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-02 20:15:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-02 22:02:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-02 23:35:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-03 00:00:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-03 01:26:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-03 03:02:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-03 05:01:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-03 08:29:00+00:00,4802960,GLIDERS,UNITED STATES
